17:29:01  |  Platform  |  Warning  |  Cannot locate resource MessageBoxResources.xml in resource group General or any other group.  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  59
17:29:01  |  Core  |  Error  |  ResourceManager : 'MessageBoxResources.xml', not found  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  153
17:29:02  |  Core  |  Warning  |  Panel skin is deprecated, use PanelSkin [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Panel skin is deprecated, use PanelSkin [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Tab factory is deprecated, use TabControl [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1104
17:29:02  |  Core  |  Warning  |  Tab skin is deprecated, use TabControl [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Tab skin is deprecated, use TabControl [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Sheet factory is deprecated, use TabItem [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1080
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget property 'ComboBox_ModeDrop' have type prefix - use 'ModeDrop' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget property 'Widget_Show' have type prefix - use 'Show' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  Widget property 'Show' not found [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1178
17:29:02  |  Core  |  Warning  |  Widget property 'Widget_Enabled' have type prefix - use 'Enabled' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  StaticText factory is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1088
17:29:02  |  Core  |  Warning  |  StaticText skin is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
